Ticker,Name,Sector,Weight (%),Market Value,Price
RYTM,RHYTHM PHARMACEUTICALS INC,Health Care,0.2,"151,250,317.50",112.55
TXNM,TXNM ENERGY INC,Utilities,0.2,"151,231,567.95",58.95
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,0.2,"151,047,007.44",29.82
APLD,APPLIED DIGITAL CORP,Information Technology,0.2,"149,941,294.23",24.81
VLY,VALLEY NATIONAL,Financials,0.2,"149,194,445.45",11.87
GBCI,GLACIER BANCORP INC,Financials,0.2,"147,858,809.76",44.91
UEC,URANIUM ENERGY CORP,Energy,0.2,"147,715,867.60",12.20
MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology,0.19,"144,801,705.68",23.77
CVLT,COMMVAULT SYSTEMS INC,Information Technology,0.19,"144,753,429.72",127.56
IRTC,IRHYTHM TECHNOLOGIES INC,Health Care,0.19,"144,648,318.60",178.60
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,0.19,"144,468,706.24",59.12
HWC,HANCOCK WHITNEY CORP,Financials,0.19,"142,669,064.20",64.70
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,0.19,"141,272,191.99",46.03
ENS,ENERSYS,Industrials,0.19,"140,728,812.00",148.12
UBSI,UNITED BANKSHARES INC,Financials,0.19,"140,208,334.08",39.04
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary,0.19,"139,499,046.54",178.38
HOMB,HOME BANCSHARES INC,Financials,0.18,"138,024,842.76",28.14
POR,PORTLAND GENERAL ELECTRIC,Utilities,0.18,"137,846,806.35",47.85
UFPI,UFP INDUSTRIES INC,Industrials,0.18,"137,471,274.60",92.60
KRG,KITE REALTY GROUP TRUST REIT,Real Estate,0.18,"135,555,308.70",24.02
PCVX,VAXCYTE INC,Health Care,0.18,"135,235,368.12",46.57
BMI,BADGER METER INC,Information Technology,0.18,"135,120,982.92",179.74
ACA,ARCOSA INC,Industrials,0.18,"135,106,823.00",109.30
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,0.18,"135,041,541.80",81.07
COGT,COGENT BIOSCIENCES INC,Health Care,0.18,"133,874,019.36",37.92
COMP,COMPASS INC CLASS A,Real Estate,0.18,"133,574,306.00",10.70
ROAD,CONSTRUCTION PARTNERS INC CLASS A,Industrials,0.18,"133,047,957.60",111.60
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,0.18,"131,871,494.34",84.54
ESE,ESCO TECHNOLOGIES INC,Industrials,0.18,"131,708,160.32",199.76
GVA,GRANITE CONSTRUCTION INC,Industrials,0.18,"131,482,855.80",118.10
BKH,BLACK HILLS CORP,Utilities,0.17,"130,825,192.50",69.75
OPCH,OPTION CARE HEALTH INC,Health Care,0.17,"130,780,019.07",32.19
MMSI,MERIT MEDICAL SYSTEMS INC,Health Care,0.17,"130,761,095.52",88.22
ABCB,AMERIS BANCORP,Financials,0.17,"130,411,684.60",75.86
PTGX,PROTAGONIST THERAPEUTICS INC,Health Care,0.17,"129,945,679.83",87.93
BCPC,BALCHEM CORP,Materials,0.17,"129,794,338.72",156.68
AUB,ATLANTIC UNION BANKSHARES CORP,Financials,0.17,"129,481,728.00",36.16
NUVL,NUVALENT INC CLASS A,Health Care,0.17,"129,226,550.40",101.76
ACIW,ACI WORLDWIDE INC,Information Technology,0.17,"128,978,762.40",48.60
HRI,HERC HOLDINGS INC,Industrials,0.17,"128,545,709.45",154.81
BCO,BRINKS,Industrials,0.17,"127,509,577.58",119.02
QLYS,QUALYS INC,Information Technology,0.17,"127,421,991.90",137.34
CSW,CSW INDUSTRIALS INC,Industrials,0.17,"126,438,449.03",305.57
RDNT,RADNET INC,Health Care,0.17,"126,297,755.01",72.81
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,0.17,"126,159,646.41",402.99
RDN,RADIAN GROUP INC,Financials,0.17,"125,776,048.20",36.28
MMS,MAXIMUS INC,Industrials,0.17,"125,329,503.00",87.00
CIFR,CIPHER MINING INC,Information Technology,0.17,"124,462,734.76",15.08
SR,SPIRE INC,Utilities,0.17,"124,203,123.20",83.20
SNEX,STONEX GROUP INC,Financials,0.17,"124,075,874.96",99.28
ACHR,ARCHER AVIATION INC CLASS A,Industrials,0.16,"123,559,913.40",7.70
AX,AXOS FINANCIAL INC,Financials,0.16,"123,174,663.76",87.59
SKY,CHAMPION HOMES INC,Consumer Discretionary,0.16,"123,021,638.28",85.74
CNX,CNX RESOURCES CORP,Energy,0.16,"122,114,634.60",36.82
MAC,MACERICH REIT,Real Estate,0.16,"122,025,533.49",18.69
PL,PLANET LABS CLASS A,Industrials,0.16,"120,370,413.39",19.87
NJR,NEW JERSEY RESOURCES CORP,Utilities,0.16,"119,736,629.98",46.42
OGS,ONE GAS INC,Utilities,0.16,"119,667,624.24",78.18
CRSP,CRISPR THERAPEUTICS AG,Health Care,0.16,"119,263,607.61",53.97
HUT,HUT CORP,Information Technology,0.16,"119,205,749.20",48.83
URBN,URBAN OUTFITTERS INC,Consumer Discretionary,0.16,"119,024,362.57",76.43
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,0.16,"118,845,759.23",239.81
CVCO,CAVCO INDUSTRIES INC,Consumer Discretionary,0.16,"118,345,675.44",601.46
NPO,ENPRO INC,Industrials,0.16,"118,142,781.07",220.37
HCC,WARRIOR MET COAL INC,Materials,0.16,"118,093,846.56",89.16
REZI,RESIDEO TECHNOLOGIES INC,Industrials,0.16,"117,600,397.08",35.74
QTWO,Q2 HOLDINGS INC,Information Technology,0.16,"117,573,987.21",74.37
PI,IMPINJ INC,Information Technology,0.16,"117,488,874.13",171.59
RIOT,RIOT PLATFORMS INC,Information Technology,0.16,"117,251,920.37",13.21
STEP,STEPSTONE GROUP INC CLASS A,Financials,0.16,"117,234,558.00",65.37
BDC,BELDEN INC,Information Technology,0.16,"117,192,321.68",117.43
MTH,MERITAGE CORP,Consumer Discretionary,0.16,"117,082,025.38",66.41
PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate,0.16,"116,946,648.00",36.00
CNR,CORE NATURAL RESOURCES INC,Energy,0.15,"116,023,397.85",89.55
ALKS,ALKERMES,Health Care,0.15,"115,227,509.99",28.01
KYMR,KYMERA THERAPEUTICS INC,Health Care,0.15,"115,178,993.10",80.35
SBRA,SABRA HEALTH CARE REIT INC,Real Estate,0.15,"115,044,411.52",18.88
LNTH,LANTHEUS HOLDINGS INC,Health Care,0.15,"114,603,791.12",67.34
FORM,FORMFACTOR INC,Information Technology,0.15,"113,551,437.78",57.42
SSRM,SSR MINING INC,Materials,0.15,"113,213,007.45",21.87
AROC,ARCHROCK INC,Energy,0.15,"113,129,621.85",25.95
ASB,ASSOCIATED BANCORP,Financials,0.15,"112,649,326.08",26.08
ADMA,ADMA BIOLOGICS INC,Health Care,0.15,"112,419,428.94",19.11
TGTX,TG THERAPEUTICS INC,Health Care,0.15,"112,422,481.33",30.53
NOVT,NOVANTA INC,Information Technology,0.15,"112,306,504.00",122.60
INDV,INDIVIOR PLC,Health Care,0.15,"111,978,901.25",36.35
RUN,SUNRUN INC,Industrials,0.15,"111,880,720.97",19.73
ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,0.15,"111,518,965.35",52.65
CORZ,CORE SCIENTIFIC INC,Information Technology,0.15,"111,367,534.20",15.08
OSIS,OSI SYSTEMS INC,Information Technology,0.15,"111,210,823.68",270.16
LAUR,LAUREATE EDUCATION INC,Consumer Discretionary,0.15,"110,768,114.16",33.86
WK,WORKIVA INC CLASS A,Information Technology,0.15,"110,686,855.50",86.70
SLAB,SILICON LABORATORIES INC,Information Technology,0.15,"110,010,290.50",132.70
LMND,LEMONADE INC,Financials,0.15,"109,766,829.00",71.32
CDTX,CIDARA THERAPEUTICS INC,Health Care,0.15,"109,704,889.71",220.41
ITRI,ITRON INC,Information Technology,0.15,"109,583,825.10",95.10
AGX,ARGAN INC,Industrials,0.15,"109,208,565.00",320.73
BOX,BOX INC CLASS A,Information Technology,0.15,"109,176,775.62",30.63
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,0.15,"109,164,282.83",26.93
MUR,MURPHY OIL CORP,Energy,0.15,"109,073,699.20",31.52
TCBI,TEXAS CAPITAL BANCSHARES INC,Financials,0.15,"109,010,789.33",93.01
CRNX,CRINETICS PHARMACEUTICALS INC,Health Care,0.15,"109,005,272.64",47.52
FTDR,FRONTDOOR INC,Consumer Discretionary,0.15,"108,959,852.56",58.46
VSAT,VIASAT INC,Information Technology,0.14,"108,786,797.93",34.67
IRT,INDEPENDENCE REALTY INC TRUST,Real Estate,0.14,"108,133,799.04",17.62
CNO,CNO FINANCIAL GROUP INC,Financials,0.14,"107,446,661.28",42.84
FOLD,AMICUS THERAPEUTICS INC,Health Care,0.14,"107,413,308.00",14.25
BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,0.14,"107,233,792.16",37.84
LEU,CENTRUS ENERGY CORP CLASS A,Energy,0.14,"106,515,455.64",249.24
EBC,EASTERN BANKSHARES INC,Financials,0.14,"105,489,622.00",18.65
KNF,KNIFE RIVER CORP,Materials,0.14,"105,465,216.96",72.64
MC,MOELIS CLASS A,Financials,0.14,"105,246,973.35",71.55
TMDX,TRANSMEDICS GROUP INC,Health Care,0.14,"104,898,436.02",123.06
VSEC,VSE CORP,Industrials,0.14,"104,433,368.84",178.73
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials,0.14,"104,413,009.68",30.52
SKYW,SKYWEST INC,Industrials,0.14,"103,889,275.00",100.63
PLXS,PLEXUS CORP,Information Technology,0.14,"103,660,125.75",151.29
LTH,LIFE TIME GROUP HOLDINGS INC,Consumer Discretionary,0.14,"103,621,491.00",27.00
TDS,TELEPHONE AND DATA SYSTEMS INC,Communication,0.14,"102,846,475.22",40.63
NWE,NORTHWESTERN ENERGY GROUP INC,Utilities,0.14,"102,174,801.18",64.86
SXT,SENSIENT TECHNOLOGIES CORP,Materials,0.14,"102,019,989.00",95.25
VIAV,VIAVI SOLUTIONS INC,Information Technology,0.14,"101,829,079.60",18.10
PJT,PJT PARTNERS INC CLASS A,Financials,0.14,"101,806,108.46",170.98
MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy,0.13,"101,207,060.00",21.95
UPST,UPSTART HOLDINGS INC,Financials,0.13,"100,884,870.42",46.57
COMM,COMMSCOPE HOLDING INC,Information Technology,0.13,"100,708,287.90",18.15
HASI,HA SUSTAINABLE INFRASTRUCTURE CAPI,Financials,0.13,"100,534,041.68",32.36
MATX,MATSON INC,Industrials,0.13,"100,391,494.80",125.20
ENVA,ENOVA INTERNATIONAL INC,Financials,0.13,"100,326,482.94",162.86
PRM,PERIMETER SOLUTIONS INC,Materials,0.13,"99,666,502.84",28.13
PFSI,PENNYMAC FINANCIAL SERVICES INC,Financials,0.13,"99,611,661.36",133.52
MRCY,MERCURY SYSTEMS INC,Industrials,0.13,"99,329,231.11",74.93
SOUN,SOUNDHOUND AI INC CLASS A,Information Technology,0.13,"99,193,548.39",10.41
VSCO,VICTORIA S SECRET,Consumer Discretionary,0.13,"98,830,050.40",56.05
FLG,FLAGSTAR BANK NATIONAL ASSOCIATION,Financials,0.13,"98,543,035.68",12.72
HAE,HAEMONETICS CORP,Health Care,0.13,"98,491,250.14",80.53
VRNS,VARONIS SYSTEMS INC,Information Technology,0.13,"98,306,624.06",33.34
ZETA,ZETA GLOBAL HOLDINGS CORP CLASS A,Information Technology,0.13,"97,727,182.41",20.41
MWA,MUELLER WATER PRODUCTS INC SERIES,Industrials,0.13,"97,024,025.30",24.59
SKT,TANGER INC,Real Estate,0.13,"96,891,496.32",33.92
SFBS,SERVISFIRST BANCSHARES INC,Financials,0.13,"96,554,326.28",73.21
LGND,LIGAND PHARMACEUTICALS INC,Health Care,0.13,"96,113,958.08",195.16
RIG,TRANSOCEAN LTD,Energy,0.13,"95,765,016.16",4.07
IBOC,INTERNATIONAL BANCSHARES CORP,Financials,0.13,"95,586,959.22",67.53
INDB,INDEPENDENT BANK CORP,Financials,0.13,"95,513,721.38",74.69
FELE,FRANKLIN ELECTRIC INC,Industrials,0.13,"95,465,983.35",97.81
ATGE,ADTALEM GLOBAL EDUCATION INC,Consumer Discretionary,0.13,"95,289,025.35",104.53
STNE,STONECO LTD CLASS A,Financials,0.13,"94,991,107.12",14.84
UCB,UNITED COMMUNITY BANKS INC,Financials,0.13,"94,726,709.35",31.85
BTU,PEABODY ENERGY CORP,Energy,0.13,"94,718,899.96",30.44
SRRK,SCHOLAR ROCK HOLDING CORP,Health Care,0.13,"94,314,783.68",45.19
VRRM,VERRA MOBILITY CORP CLASS A,Industrials,0.12,"92,906,122.80",22.73
PATK,PATRICK INDUSTRIES INC,Consumer Discretionary,0.12,"92,752,768.17",111.81
GLNG,GOLAR LNG LTD,Energy,0.12,"92,532,975.00",37.50
CALM,CAL MAINE FOODS INC,Consumer Staples,0.12,"92,303,146.08",82.08
WAY,WAYSTAR HOLDING CORP,Health Care,0.12,"92,213,883.00",32.94
NHI,NATIONAL HEALTH INVESTORS REIT INC,Real Estate,0.12,"92,205,437.61",77.23
IESC,IES INC,Industrials,0.12,"91,750,413.48",397.87
KBH,KB HOME,Consumer Discretionary,0.12,"91,556,331.36",56.94
EXPO,EXPONENT INC,Industrials,0.12,"91,101,988.86",71.22
NE,NOBLE CORPORATION PLC,Energy,0.12,"90,999,919.68",28.32
PLMR,PALOMAR HOLDINGS INC,Financials,0.12,"90,754,961.36",135.38
OUT,OUTFRONT MEDIA INC,Real Estate,0.12,"90,717,383.16",24.03
TERN,TERNS PHARMACEUTICALS INC,Health Care,0.12,"90,500,295.00",41.50
ICUI,ICU MEDICAL INC,Health Care,0.12,"90,361,087.43",147.23
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary,0.12,"90,039,700.50","1,098.38"
CBT,CABOT CORP,Materials,0.12,"89,981,173.23",66.13
KFY,KORN FERRY,Industrials,0.12,"89,910,963.24",67.06
MARA,MARA HOLDINGS INC,Information Technology,0.12,"89,777,089.22",9.49
TEX,TEREX CORP,Industrials,0.12,"89,021,496.84",54.07
SPSC,SPS COMMERCE INC,Information Technology,0.12,"88,855,476.57",91.77
EOSE,EOS ENERGY ENTERPRISES INC CLASS A,Industrials,0.12,"88,809,970.45",11.35
GNW,GENWORTH FINANCIAL INC,Financials,0.12,"88,708,917.32",9.07
PII,POLARIS INC,Consumer Discretionary,0.12,"88,398,999.29",65.17
FULT,FULTON FINANCIAL CORP,Financials,0.12,"88,318,891.18",19.82
WULF,TERAWULF INC,Information Technology,0.12,"88,155,422.38",11.42
DORM,DORMAN PRODUCTS INC,Consumer Discretionary,0.12,"87,882,061.80",125.85
RNST,RENASANT CORP,Financials,0.12,"87,746,557.06",35.87
KAI,KADANT INC,Industrials,0.12,"87,677,524.59",293.61
UUUU,ENERGY FUELS INC,Energy,0.12,"87,269,360.31",15.07
MYRG,MYR GROUP INC,Industrials,0.12,"87,168,862.81",222.47
KTB,KONTOOR BRANDS INC,Consumer Discretionary,0.12,"86,753,447.91",62.17
LIVN,LIVANOVA PLC,Health Care,0.12,"86,679,801.90",62.46
GPOR,GULFPORT ENERGY CORP,Energy,0.11,"86,296,944.65",214.55
ACAD,ACADIA PHARMACEUTICALS INC,Health Care,0.11,"86,201,572.00",27.26
SIG,SIGNET JEWELERS LTD,Consumer Discretionary,0.11,"85,968,495.35",84.55
RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials,0.11,"85,871,053.40",55.33
DOCN,DIGITALOCEAN HOLDINGS INC,Information Technology,0.11,"85,780,402.38",49.34
SLG,SL GREEN REALTY REIT CORP,Real Estate,0.11,"85,515,879.71",46.61
XENE,XENON PHARMACEUTICALS INC,Health Care,0.11,"85,352,627.36",44.33
MHO,M I HOMES INC,Consumer Discretionary,0.11,"85,315,217.96",128.66
VCYT,VERACYTE INC,Health Care,0.11,"85,300,455.04",42.88
BNL,BROADSTONE NET LEASE INC,Real Estate,0.11,"84,968,728.68",17.49
ASO,ACADEMY SPORTS AND OUTDOORS INC,Consumer Discretionary,0.11,"84,700,544.60",50.12
MZTI,MARZETTI,Consumer Staples,0.11,"84,593,893.16",166.04
BGC,BGC GROUP INC CLASS A,Financials,0.11,"84,481,341.93",9.09
FUL,HB FULLER,Materials,0.11,"84,077,887.74",60.83
AIR,AAR CORP,Industrials,0.11,"83,668,280.40",84.51
FIBK,FIRST INTERSTATE BANCSYSTEM INC,Financials,0.11,"83,641,742.17",35.77
MIRM,MIRUM PHARMACEUTICALS INC,Health Care,0.11,"83,366,103.08",80.21
CRC,CALIFORNIA RESOURCES CORP,Energy,0.11,"83,276,130.64",44.71
NMIH,NMI HOLDINGS INC,Financials,0.11,"83,206,686.58",41.41
CELC,CELCUITY INC,Health Care,0.11,"82,932,330.75",101.55
WSBC,WESBANCO INC,Financials,0.11,"82,859,795.90",33.95
BKU,BANKUNITED INC,Financials,0.11,"82,718,937.67",44.89
OPLN,OPENLANE INC,Industrials,0.11,"82,610,993.88",30.76
CDP,COPT DEFENSE PROPERTIES,Real Estate,0.11,"82,462,775.61",28.29
FBP,FIRST BANCORP,Financials,0.11,"82,250,643.30",21.03
AZZ,AZZ INC,Industrials,0.11,"81,957,831.48",109.62
CALX,CALIX NETWORKS INC,Information Technology,0.11,"81,961,192.56",53.43
CATY,CATHAY GENERAL BANCORP,Financials,0.11,"81,515,358.00",49.45
TARS,TARSUS PHARMACEUTICALS INC,Health Care,0.11,"81,504,164.49",81.97
POWL,POWELL INDUSTRIES INC,Industrials,0.11,"81,471,052.80",335.88
TVTX,TRAVERE THERAPEUTICS INC,Health Care,0.11,"81,463,164.48",38.88
ALHC,ALIGNMENT HEALTHCARE INC,Health Care,0.11,"81,433,344.42",18.94
OTTR,OTTER TAIL CORP,Utilities,0.11,"81,224,624.72",82.64
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,0.11,"81,124,739.28",19.76
CARG,CARGURUS INC CLASS A,Communication,0.11,"80,943,270.54",38.58
SHAK,SHAKE SHACK INC CLASS A,Consumer Discretionary,0.11,"80,758,620.16",81.92
PSMT,PRICESMART INC,Consumer Staples,0.11,"80,630,643.45",123.81
AGYS,AGILYSYS INC,Information Technology,0.11,"80,508,110.40",122.40
WHD,CACTUS INC CLASS A,Energy,0.11,"80,346,126.07",46.07
WSFS,WSFS FINANCIAL CORP,Financials,0.11,"80,280,135.00",56.68
CBU,COMMUNITY FINANCIAL SYSTEM INC,Financials,0.11,"79,880,400.60",58.85
ARQT,ARCUTIS BIOTHERAPEUTICS INC,Health Care,0.11,"79,827,456.24",28.56
PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,0.11,"79,744,150.54",63.71
AVA,AVISTA CORP,Utilities,0.11,"79,428,997.24",38.63
TGNA,TEGNA INC,Communication,0.11,"79,391,209.50",19.33
PCH,POTLATCHDELTIC CORP,Real Estate,0.11,"78,941,241.12",39.92
VAL,VALARIS LTD,Energy,0.11,"78,865,014.42",49.71
KGS,KODIAK GAS SERVICES INC,Energy,0.1,"78,717,330.72",36.82
GRAL,GRAIL INC,Health Care,0.1,"78,378,414.40",87.88
RRR,RED ROCK RESORTS ORS CLASS A INC,Consumer Discretionary,0.1,"78,162,559.20",62.76
TPC,TUTOR PERINI CORP,Industrials,0.1,"77,854,329.26",68.66
SHOO,STEVEN MADDEN LTD,Consumer Discretionary,0.1,"77,799,485.40",42.60
HURN,HURON CONSULTING GROUP INC,Industrials,0.1,"77,618,352.00",179.34
GSAT,GLOBALSTAR VOTING INC,Communication,0.1,"77,575,468.60",59.99
YOU,CLEAR SECURE INC CLASS A,Information Technology,0.1,"77,456,300.84",35.32
BRZE,BRAZE INC CLASS A,Information Technology,0.1,"76,442,515.50",35.25
BL,BLACKLINE INC,Information Technology,0.1,"76,403,997.48",57.66
REVG,REV GROUP INC,Industrials,0.1,"76,003,307.52",61.44
CLSK,CLEANSPARK INC,Information Technology,0.1,"75,762,399.36",10.72
LXP,LXP INDUSTRIAL TRUST,Real Estate,0.1,"75,246,242.10",50.10
TBBK,BANCORP INC,Financials,0.1,"74,754,002.84",68.86
APGE,APOGEE THERAPEUTICS INC,Health Care,0.1,"74,709,569.40",76.38
LCII,LCI INDUSTRIES,Consumer Discretionary,0.1,"74,447,564.61",123.71
SYNA,SYNAPTICS INC,Information Technology,0.1,"74,281,350.66",75.03
AVNT,AVIENT CORP,Materials,0.1,"74,070,766.98",31.62
LBRT,LIBERTY ENERGY INC CLASS A,Energy,0.1,"73,892,792.27",18.37
TENB,TENABLE HOLDINGS INC,Information Technology,0.1,"73,828,317.90",23.95
VERA,VERA THERAPEUTICS INC CLASS A,Health Care,0.1,"73,674,224.25",52.25
CPK,CHESAPEAKE UTILITIES CORP,Utilities,0.1,"73,627,670.34",126.18
GFF,GRIFFON CORP,Industrials,0.1,"73,280,245.29",75.11
MGEE,MGE ENERGY INC,Utilities,0.1,"73,236,407.50",78.77
VCTR,VICTORY CAPITAL HOLDINGS CLASS A I,Financials,0.1,"73,225,814.42",64.13
UNF,UNIFIRST CORP,Industrials,0.1,"73,196,202.75",196.55
NG,NOVAGOLD RESOURCES INC,Materials,0.1,"73,093,716.67",9.49
OSCR,OSCAR HEALTH INC CLASS A,Financials,0.1,"73,005,287.56",14.53
NATL,NCR ATLEOS CORP,Financials,0.1,"72,983,056.44",38.92
HWKN,HAWKINS INC,Materials,0.1,"72,899,148.62",147.26
CPRI,CAPRI HOLDINGS LTD,Consumer Discretionary,0.1,"72,770,982.48",24.61
AMBA,AMBARELLA INC,Information Technology,0.1,"72,302,430.20",70.07
LRN,STRIDE INC,Consumer Discretionary,0.1,"72,241,226.94",66.59
DAN,DANA INCORPORATED INC,Consumer Discretionary,0.1,"71,907,171.38",23.98
BCC,BOISE CASCADE,Industrials,0.1,"71,817,480.65",74.53
SBCF,SEACOAST BANKING OF FLORIDA,Financials,0.09,"71,301,061.70",31.90
XMTR,XOMETRY INC CLASS A,Industrials,0.09,"71,301,099.84",64.32
